model,fold,epoch,train_loss,train_acc,val_loss,val_acc,lr
tcn,1,22,0.2401,0.9323,0.2367,0.9367,0.001
tcn,1,23,0.2356,0.9356,0.2323,0.9398,0.001
tcn,1,24,0.2312,0.9389,0.2278,0.9423,0.001
tcn,1,25,0.2278,0.9412,0.2245,0.9456,0.001
tcn,2,1,0.7145,0.5223,0.7001,0.5401,0.001
tcn,2,2,0.6478,0.5976,0.6343,0.6112,0.001
tcn,2,3,0.5912,0.6534,0.5809,0.6667,0.001
tcn,2,4,0.5434,0.6976,0.5334,0.7112,0.001
tcn,2,5,0.5009,0.7334,0.4918,0.7445,0.001
tcn,2,6,0.4645,0.7645,0.4567,0.7756,0.001
tcn,2,7,0.4334,0.7901,0.4267,0.8001,0.001
tcn,2,8,0.4067,0.8112,0.4009,0.8201,0.001
tcn,2,9,0.3834,0.8291,0.3778,0.8378,0.001
tcn,2,10,0.3634,0.8445,0.3589,0.8523,0.001
tcn,2,11,0.3456,0.8578,0.3411,0.8656,0.001
tcn,2,12,0.3298,0.8691,0.3256,0.8767,0.001
tcn,2,13,0.3167,0.8791,0.3123,0.8867,0.001
tcn,2,14,0.3045,0.8878,0.2998,0.8945,0.001
tcn,2,15,0.2934,0.8956,0.2898,0.9023,0.001
tcn,2,16,0.2834,0.9023,0.2798,0.9087,0.001
tcn,2,17,0.2745,0.9087,0.2711,0.9145,0.001
tcn,2,18,0.2667,0.9145,0.2634,0.9201,0.001
tcn,2,19,0.2598,0.9191,0.2567,0.9245,0.001
tcn,2,20,0.2534,0.9234,0.2498,0.9287,0.001
tcn,2,21,0.2478,0.9278,0.2445,0.9323,0.001
tcn,2,22,0.2423,0.9312,0.2389,0.9356,0.001
tcn,2,23,0.2378,0.9345,0.2345,0.9387,0.001
tcn,2,24,0.2334,0.9378,0.2298,0.9412,0.001
tcn,2,25,0.2298,0.9401,0.2267,0.9445,0.001
tcn,3,1,0.7134,0.5231,0.6998,0.5411,0.001
tcn,3,2,0.6467,0.5983,0.6332,0.6121,0.001
tcn,3,3,0.5901,0.6541,0.5798,0.6673,0.001
tcn,3,4,0.5423,0.6983,0.5323,0.7118,0.001
tcn,3,5,0.4998,0.7341,0.4907,0.7452,0.001
tcn,3,6,0.4634,0.7652,0.4556,0.7763,0.001
tcn,3,7,0.4323,0.7908,0.4256,0.8008,0.001
tcn,3,8,0.4056,0.8119,0.3998,0.8208,0.001
tcn,3,9,0.3823,0.8298,0.3767,0.8385,0.001
tcn,3,10,0.3623,0.8452,0.3578,0.8529,0.001
tcn,3,11,0.3445,0.8585,0.3398,0.8663,0.001
tcn,3,12,0.3287,0.8698,0.3245,0.8774,0.001
tcn,3,13,0.3156,0.8798,0.3112,0.8874,0.001
tcn,3,14,0.3034,0.8885,0.2987,0.8952,0.001
tcn,3,15,0.2923,0.8963,0.2887,0.9031,0.001
tcn,3,16,0.2823,0.9031,0.2787,0.9095,0.001
tcn,3,17,0.2734,0.9095,0.2698,0.9153,0.001
tcn,3,18,0.2656,0.9153,0.2623,0.9209,0.001
tcn,3,19,0.2587,0.9198,0.2556,0.9252,0.001
tcn,3,20,0.2523,0.9242,0.2487,0.9295,0.001
tcn,3,21,0.2467,0.9286,0.2434,0.9331,0.001
tcn,3,22,0.2412,0.9321,0.2378,0.9365,0.001
tcn,3,23,0.2367,0.9354,0.2334,0.9396,0.001
tcn,3,24,0.2323,0.9387,0.2287,0.9421,0.001
tcn,3,25,0.2287,0.9411,0.2256,0.9454,0.001
tcn,4,1,0.7156,0.5218,0.7012,0.5395,0.001
tcn,4,2,0.6489,0.5971,0.6354,0.6108,0.001
tcn,4,3,0.5923,0.6529,0.5819,0.6662,0.001
tcn,4,4,0.5445,0.6971,0.5345,0.7108,0.001
tcn,4,5,0.5019,0.7329,0.4928,0.7441,0.001
tcn,4,6,0.4656,0.7641,0.4578,0.7752,0.001
tcn,4,7,0.4345,0.7896,0.4278,0.7996,0.001
tcn,4,8,0.4078,0.8108,0.4019,0.8196,0.001
tcn,4,9,0.3845,0.8286,0.3789,0.8373,0.001
tcn,4,10,0.3645,0.8441,0.3598,0.8518,0.001
tcn,4,11,0.3467,0.8574,0.3421,0.8652,0.001
tcn,4,12,0.3309,0.8686,0.3267,0.8762,0.001
tcn,4,13,0.3178,0.8786,0.3134,0.8862,0.001
tcn,4,14,0.3056,0.8874,0.3009,0.8941,0.001
tcn,4,15,0.2945,0.8952,0.2909,0.9019,0.001
tcn,4,16,0.2845,0.9019,0.2809,0.9083,0.001
tcn,4,17,0.2756,0.9083,0.2721,0.9141,0.001
tcn,4,18,0.2678,0.9141,0.2645,0.9198,0.001
tcn,4,19,0.2609,0.9186,0.2578,0.9241,0.001
tcn,4,20,0.2545,0.9231,0.2509,0.9283,0.001
tcn,4,21,0.2489,0.9275,0.2456,0.9321,0.001
tcn,4,22,0.2434,0.9309,0.2398,0.9353,0.001
tcn,4,23,0.2389,0.9342,0.2356,0.9385,0.001
tcn,4,24,0.2345,0.9375,0.2309,0.9409,0.001
tcn,4,25,0.2309,0.9399,0.2278,0.9442,0.001
tcn,5,1,0.7142,0.5228,0.6999,0.5408,0.001
tcn,5,2,0.6475,0.5978,0.6341,0.6115,0.001
tcn,5,3,0.5909,0.6538,0.5806,0.6671,0.001
tcn,5,4,0.5431,0.6978,0.5331,0.7115,0.001
tcn,5,5,0.5006,0.7338,0.4915,0.7449,0.001
tcn,5,6,0.4642,0.7649,0.4564,0.7761,0.001
tcn,5,7,0.4331,0.7905,0.4264,0.8005,0.001
tcn,5,8,0.4064,0.8116,0.4006,0.8205,0.001
tcn,5,9,0.3831,0.8295,0.3775,0.8382,0.001
tcn,5,10,0.3631,0.8449,0.3586,0.8526,0.001
tcn,5,11,0.3453,0.8582,0.3408,0.8661,0.001
tcn,5,12,0.3295,0.8695,0.3253,0.8772,0.001
tcn,5,13,0.3164,0.8795,0.3121,0.8871,0.001
tcn,5,14,0.3042,0.8882,0.2996,0.8949,0.001
tcn,5,15,0.2931,0.8961,0.2895,0.9028,0.001
tcn,5,16,0.2831,0.9028,0.2795,0.9092,0.001
tcn,5,17,0.2742,0.9092,0.2708,0.9149,0.001
tcn,5,18,0.2664,0.9151,0.2631,0.9207,0.001
tcn,5,19,0.2595,0.9196,0.2564,0.9251,0.001
tcn,5,20,0.2531,0.9241,0.2496,0.9293,0.001
tcn,5,21,0.2475,0.9285,0.2442,0.9331,0.001
tcn,5,22,0.2421,0.9319,0.2386,0.9363,0.001
tcn,5,23,0.2376,0.9352,0.2343,0.9395,0.001
tcn,5,24,0.2332,0.9385,0.2296,0.9419,0.001
tcn,5,25,0.2296,0.9409,0.2265,0.9452,0.001
transformer,1,1,0.7345,0.5012,0.7212,0.5212,0.0005
transformer,1,2,0.6723,0.5789,0.6612,0.5945,0.0005
transformer,1,3,0.6198,0.6345,0.6098,0.6489,0.0005
transformer,1,4,0.5745,0.6789,0.5656,0.6923,0.0005
transformer,1,5,0.5345,0.7156,0.5267,0.7289,0.0005
transformer,1,6,0.4998,0.7467,0.4923,0.7589,0.0005
transformer,1,7,0.4698,0.7734,0.4623,0.7845,0.0005
transformer,1,8,0.4434,0.7967,0.4367,0.8067,0.0005
transformer,1,9,0.4201,0.8167,0.4145,0.8267,0.0005
transformer,1,10,0.3998,0.8345,0.3945,0.8434,0.0005
transformer,1,11,0.3812,0.8501,0.3767,0.8589,0.0005
transformer,1,12,0.3656,0.8634,0.3612,0.8712,0.0005
transformer,1,13,0.3512,0.8756,0.3478,0.8823,0.0005
transformer,1,14,0.3389,0.8867,0.3356,0.8923,0.0005
transformer,1,15,0.3278,0.8967,0.3245,0.9012,0.0005
transformer,1,16,0.3178,0.9056,0.3145,0.9101,0.0005
transformer,1,17,0.3089,0.9134,0.3056,0.9178,0.0005
transformer,1,18,0.3012,0.9201,0.2978,0.9245,0.0005
transformer,1,19,0.2945,0.9267,0.2912,0.9301,0.0005
transformer,1,20,0.2878,0.9323,0.2845,0.9356,0.0005
transformer,2,1,0.7367,0.5001,0.7234,0.5201,0.0005
transformer,2,2,0.6745,0.5778,0.6634,0.5934,0.0005
transformer,2,3,0.6219,0.6334,0.6119,0.6478,0.0005
transformer,2,4,0.5767,0.6778,0.5678,0.6912,0.0005
transformer,2,5,0.5367,0.7145,0.5289,0.7278,0.0005
transformer,2,6,0.5019,0.7456,0.4945,0.7578,0.0005
transformer,2,7,0.4719,0.7723,0.4645,0.7834,0.0005
transformer,2,8,0.4456,0.7956,0.4389,0.8056,0.0005
transformer,2,9,0.4223,0.8156,0.4167,0.8256,0.0005
transformer,2,10,0.4019,0.8334,0.3967,0.8423,0.0005
transformer,2,11,0.3834,0.8491,0.3789,0.8578,0.0005
transformer,2,12,0.3678,0.8623,0.3634,0.8701,0.0005
transformer,2,13,0.3534,0.8745,0.3498,0.8812,0.0005
transformer,2,14,0.3411,0.8856,0.3378,0.8912,0.0005
transformer,2,15,0.3298,0.8956,0.3267,0.9001,0.0005
transformer,2,16,0.3198,0.9045,0.3167,0.9091,0.0005
transformer,2,17,0.3111,0.9123,0.3078,0.9167,0.0005
transformer,2,18,0.3034,0.9191,0.2998,0.9234,0.0005
transformer,2,19,0.2967,0.9256,0.2934,0.9291,0.0005
transformer,2,20,0.2898,0.9312,0.2867,0.9345,0.0005
transformer,3,1,0.7356,0.5008,0.7223,0.5208,0.0005
transformer,3,2,0.6734,0.5785,0.6623,0.5941,0.0005
transformer,3,3,0.6208,0.6341,0.6108,0.6485,0.0005
transformer,3,4,0.5756,0.6785,0.5667,0.6919,0.0005
transformer,3,5,0.5356,0.7152,0.5278,0.7285,0.0005
transformer,3,6,0.5008,0.7463,0.4934,0.7585,0.0005
transformer,3,7,0.4708,0.7731,0.4634,0.7842,0.0005
transformer,3,8,0.4445,0.7963,0.4378,0.8063,0.0005
transformer,3,9,0.4212,0.8163,0.4156,0.8263,0.0005
transformer,3,10,0.4008,0.8341,0.3956,0.8431,0.0005
transformer,3,11,0.3823,0.8498,0.3778,0.8585,0.0005
transformer,3,12,0.3667,0.8631,0.3623,0.8708,0.0005
transformer,3,13,0.3523,0.8752,0.3487,0.8819,0.0005
transformer,3,14,0.3398,0.8863,0.3367,0.8919,0.0005
transformer,3,15,0.3287,0.8963,0.3256,0.9008,0.0005
transformer,3,16,0.3187,0.9052,0.3156,0.9098,0.0005
transformer,3,17,0.3098,0.9131,0.3067,0.9175,0.0005
transformer,3,18,0.3021,0.9198,0.2987,0.9242,0.0005
transformer,3,19,0.2956,0.9263,0.2923,0.9298,0.0005
transformer,3,20,0.2887,0.9319,0.2856,0.9352,0.0005
transformer,4,1,0.7378,0.4998,0.7245,0.5198,0.0005
transformer,4,2,0.6756,0.5775,0.6645,0.5931,0.0005
transformer,4,3,0.6229,0.6331,0.6129,0.6475,0.0005
transformer,4,4,0.5778,0.6775,0.5689,0.6909,0.0005
transformer,4,5,0.5378,0.7142,0.5299,0.7275,0.0005
transformer,4,6,0.5029,0.7453,0.4956,0.7575,0.0005
transformer,4,7,0.4729,0.7721,0.4656,0.7832,0.0005
transformer,4,8,0.4467,0.7953,0.4398,0.8053,0.0005
transformer,4,9,0.4234,0.8153,0.4178,0.8253,0.0005
transformer,4,10,0.4029,0.8331,0.3978,0.8421,0.0005
transformer,4,11,0.3845,0.8488,0.3798,0.8575,0.0005
transformer,4,12,0.3689,0.8621,0.3645,0.8698,0.0005
transformer,4,13,0.3545,0.8742,0.3509,0.8809,0.0005
transformer,4,14,0.3419,0.8853,0.3389,0.8909,0.0005
transformer,4,15,0.3309,0.8953,0.3278,0.8998,0.0005
transformer,4,16,0.3209,0.9042,0.3178,0.9088,0.0005
transformer,4,17,0.3119,0.9121,0.3089,0.9165,0.0005
transformer,4,18,0.3043,0.9188,0.3009,0.9232,0.0005
transformer,4,19,0.2978,0.9253,0.2945,0.9288,0.0005
transformer,4,20,0.2909,0.9309,0.2878,0.9342,0.0005
transformer,5,1,0.7365,0.5003,0.7232,0.5203,0.0005
transformer,5,2,0.6743,0.5781,0.6632,0.5938,0.0005
transformer,5,3,0.6217,0.6338,0.6117,0.6481,0.0005
transformer,5,4,0.5765,0.6781,0.5676,0.6915,0.0005
transformer,5,5,0.5365,0.7149,0.5286,0.7281,0.0005
transformer,5,6,0.5017,0.7459,0.4943,0.7581,0.0005
transformer,5,7,0.4717,0.7727,0.4643,0.7838,0.0005
transformer,5,8,0.4455,0.7959,0.4386,0.8059,0.0005
transformer,5,9,0.4222,0.8159,0.4166,0.8259,0.0005
transformer,5,10,0.4018,0.8337,0.3966,0.8427,0.0005
transformer,5,11,0.3833,0.8494,0.3788,0.8581,0.0005
transformer,5,12,0.3677,0.8627,0.3633,0.8704,0.0005
transformer,5,13,0.3533,0.8749,0.3497,0.8816,0.0005
transformer,5,14,0.3408,0.8861,0.3377,0.8917,0.0005
transformer,5,15,0.3297,0.8961,0.3266,0.9006,0.0005
transformer,5,16,0.3197,0.9051,0.3166,0.9096,0.0005
transformer,5,17,0.3108,0.9129,0.3077,0.9173,0.0005
transformer,5,18,0.3031,0.9197,0.2997,0.9241,0.0005
transformer,5,19,0.2966,0.9262,0.2933,0.9297,0.0005
transformer,5,20,0.2897,0.9318,0.2866,0.9351,0.0005
